Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,37,0,14,13.800048648650757,4.618800000002921,29.52740000000631,274.0,0.097911373469718,0.0,14,15,16,16,18,24,30,30,30,30,30
POST,/prediction_category,121,0,59,57.50707520660911,16.073800000000915,71.88789999999301,120.17355371900827,0.32019665377934803,0.0,59,61,62,63,64,65,68,71,72,72,72
POST,/prediction_sexism,141,0,59,58.24657801418569,26.2633000000001,73.23780000001534,99.17021276595744,0.37312172051973613,0.0,59,61,62,63,64,65,68,69,73,73,73
GET,/task,52,0,14,13.061115384615867,4.665799999997944,19.49480000001813,192.0,0.13760517352500906,0.0,14,15,16,16,18,18,19,19,19,19,19
GET,/task/A,43,0,15,13.684688372097638,4.5826000000062095,22.986200000001844,168.0,0.11378889349183442,0.0,15,15,16,17,18,21,23,23,23,23,23
GET,/task/A/metrics,41,0,14,14.422512195118983,4.981399999991254,25.619099999971695,94.0,0.10849638681779561,0.0,14,16,18,19,20,20,26,26,26,26,26
GET,/task/A/preprocessing,42,0,15,13.71297142857173,4.89709999999377,35.74229999998124,109.0,0.11114264015481502,0.0,15,16,16,17,18,19,36,36,36,36,36
GET,/task/B,44,0,15,14.124195454545521,4.846399999991036,20.37159999999716,240.0,0.11643514682885382,0.0,15,16,17,18,19,19,20,20,20,20,20
GET,/task/B/metrics,49,0,15,14.529108163264254,4.339400000020532,28.19279999999935,94.0,0.12966641351395086,0.0,15,16,17,17,20,23,28,28,28,28,28
GET,/task/B/preprocessing,46,0,14,14.177928260870248,4.760299999986728,18.992099999991296,108.0,0.12172765350289264,0.0,15,16,17,17,18,18,19,19,19,19,19
,Aggregated,616,0,18,32.63342272727281,4.339400000020532,73.23780000001534,137.07142857142858,1.6300920556039535,0.0,18,55,58,60,62,64,65,66,73,73,73
